run_name,script_version,date_time,fit_time,python_version,machine_learning_framework,framework_version,batch_size,learning_rate,lr_scheduler,lr_warmup,optimizer,epochs,nestrov,model_name,dataset_name,random_seed,op_determinism,test_loss,test_accuracy
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306102536508002,1234,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,2016501090,True,1.4451314,0.6625
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306104711036313,1235,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,1419135793,True,1.4425176,0.6612
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306110846105316,1212,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,328135459,True,1.4553838,0.6582
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306112957995963,1234,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,725062165,True,1.4561236,0.665
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306115133636346,1235,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,698501779,True,1.4968643,0.6581
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306083923601543,1594,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,2916655170,True,1.4603069,0.6656
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306090704266602,1581,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,3309567839,True,1.467308,0.6639
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306093432638326,1539,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,4282113189,True,1.4718443,0.6638
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306100120076268,1567,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,293153299,True,1.4362413,0.665
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306102835200501,1563,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,2583227991,True,1.4820209,0.6621
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306105545195016,1598,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,2066139778,True,1.4484597,0.663
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306112332712512,1543,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,3453933603,True,1.4531655,0.6626
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306115025753528,1580,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,3404249524,True,1.4596801,0.6657
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306121754249825,1578,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,3687309285,True,1.4531877,0.663
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306124521276454,1576,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,713197558,True,1.4647212,0.6599
ResNet20-cifar100-idun-A100-TensorFlow-ngc2312,1.0.1-1.0.2,20240306102433466507,1191,"3.10.12 (main, Nov 20 2023, 15:14:05) [GCC 11.4.0]",TensorFlow,2.14.0,128,0.1,True,False,SGD,200,False,ResNet20,cifar100,2549351489,True,1.5157955,0.6627
